LP	Nr produktu 1	Nr produktu 2	Grupa	Nazwa produktu	Producent	Cena netto	Cena brutto
555	OPR.163511	61172242	LM	HERA & LUNA HLF710 COL.2 	HERA & LUNA 	53,82	65,6604
556	OPR.163545	61172487	LM	ANGELO FUTURO AFT831 COL.1 	ANGELO FUTURO 	75,66	92,3052
557	OPR.163546	61172494	LM	ANGELO FUTURO AFT831 COL.2 	ANGELO FUTURO 	91,26	111,3372
558	OPR.163548	61172508	LM	ANGELO FUTURO AFT841 COL.1 	ANGELO FUTURO 	35,88	43,7736
559	OPR.163551	61172529	LM	angelo futuro aft841 col.4 	ANGELO FUTURO 	166,14	202,6908
560	OPR.163565	61172627	LM	HERA & LUNA HL9012 COL.1 	HERA & LUNA 	73,32	89,4504
561	OPR.163566	61172634	LM	hera & luna hl9013 col.2 	HERA & LUNA 	198,12	241,7064
562	OPR.163567	61172641	LM	hera & luna hl9013 col.3 	HERA & LUNA 	308,1	375,882
563	OPR.163568	61172648	LM	HERA & LUNA HL9020 COL.1 	HERA & LUNA 	75,66	92,3052
564	OPR.163569	61172655	LM	hera & luna hl9020 col.2 	HERA & LUNA 	145,08	176,9976
565	OPR.163570	61172662	LM	hera & luna hl9021 col.2 	HERA & LUNA 	147,42	179,8524
566	OPR.163571	61172669	LM	hera & luna hl9021 col.3 	HERA & LUNA 	134,94	164,6268
567	OPR.163572	61172676	LM	hera & luna hl9021 col.4 	HERA & LUNA 	163,8	199,836
568	OPR.163573	61172683	LM	hera & luna hl9022 col.1 	HERA & LUNA 	113,88	138,9336
569	OPR.163574	61172690	LM	HERA & LUNA HL9022 COL.2 	HERA & LUNA 	39,78	48,5316
570	OPR.163575	61172697	LM	HERA & LUNA HL9022 COL.3 	HERA & LUNA 	35,1	42,822
571	OPR.163576	61172704	LM	HERA & LUNA HL9022 COL.4 	HERA & LUNA 	73,32	89,4504
572	OPR.163631	61173383	LM	hera & luna hl9020 col.3 	HERA & LUNA 	297,18	362,5596
573	OPR.163808	61174699	LM	angelo futuro aft803 col.2 	ANGELO FUTURO 	128,7	157,014
574	OPR.163809	61174706	LM	angelo futuro aft836 col.3 	ANGELO FUTURO 	248,82	303,5604
575	OPR.163810	61174713	LM	angelo futuro aft837 col.1 	ANGELO FUTURO 	203,58	248,3676
576	OPR.163811	61174720	LM	angelo futuro aft837 col.2 	ANGELO FUTURO 	262,86	320,6892
577	OPR.163812	61174727	LM	angelo futuro aft837 col.3 	ANGELO FUTURO 	239,46	292,1412
578	OPR.163815	61174748	LM	hera & luna hl0810 col.2 	HERA & LUNA 	234	285,48
579	OPR.163816	61174755	LM	hera & luna hl0810 col.3 	HERA & LUNA 	106,86	130,3692
580	OPR.163817	61174762	LM	HERA & LUNA HL0819 COL.3 	HERA & LUNA 	34,32	41,8704
581	OPR.163818	61174769	LM	HERA & LUNA HL0832 COL.1 	HERA & LUNA 	82,68	100,8696
582	OPR.163819	61174776	LM	HERA & LUNA HL0832 COL.2 	HERA & LUNA 	81,9	99,918
583	OPR.163820	61174783	LM	hera & luna hl9014 col.3 	HERA & LUNA 	265,98	324,4956
584	OPR.163821	61174790	LM	hera & luna hlf710 col.1 	HERA & LUNA 	138,84	169,3848
585	OPR.163822	61174797	LM	HERA & LUNA HLF710 COL.3 	HERA & LUNA 	35,1	42,822
586	OPR.163823	61174804	LM	hera & luna hlf711 col.1 	HERA & LUNA 	248,04	302,6088
587	OPR.163824	61174811	LM	HERA & LUNA HLF711 COL.2 	HERA & LUNA 	39	47,58
588	OPR.163825	61174818	LM	hera & luna hlf711 col.3 	HERA & LUNA 	308,88	376,8336
589	OPR.163903	61175371	LM	quest-x qf003 col.1 	QUEST-X 	183,3	223,626
590	OPR.163905	61175385	LM	QUEST-X QX1005 COL.4 	QUEST-X 	70,2	85,644
591	OPR.163911	61175427	LM	quest-x qx1019 col.01 	QUEST-X 	203,58	248,3676
592	OPR.163912	61175434	LM	quest-x qx1019 col.03 	QUEST-X 	195	237,9
593	OPR.163921	61175497	LM	quest-x qx8736 col.1 	QUEST-X 	170,04	207,4488
594	OPR.163923	61175511	LM	quest-x qx8747 col.2 	QUEST-X 	101,4	123,708
595	OPR.163924	61175518	LM	quest-x qx8748 col.1 	QUEST-X 	304,2	371,124
596	OPR.163925	61175525	LM	quest-x qx8748 col.2 	QUEST-X 	219,96	268,3512
597	OPR.163927	61175539	LM	quest-x qx8751 col.2 	QUEST-X 	131,82	160,8204
598	OPR.163928	61175546	LM	quest-x qx8752 col.1 	QUEST-X 	215,28	262,6416
599	OPR.163929	61175553	LM	QUEST-X QX8752 COL.2 	QUEST-X 	67,86	82,7892
600	OPR.163932	61175574	LM	QUEST-X QX8754 COL.3 	QUEST-X 	99,84	121,8048
601	OPR.163933	61175581	LM	quest-x qx8756 col.3 	QUEST-X 	273	333,06
602	OPR.163937	61175609	LM	rosa del cuore rdc0704 col.1 	ROSA DEL CUORE 	152,1	185,562
603	OPR.163938	61175616	LM	rosa del cuore rdc0708 col.3 	ROSA DEL CUORE 	102,96	125,6112
604	OPR.163942	61175644	LM	rosa del cuore rdc0807 col.1 	ROSA DEL CUORE 	194,22	236,9484
605	OPR.163943	61175651	LM	rosa del cuore rdc0811 col.1 	ROSA DEL CUORE 	127,92	156,0624
606	OPR.163944	61175658	LM	ROSA DEL CUORE RDC0811 COL.2 	ROSA DEL CUORE 	85,8	104,676
607	OPR.163945	61175665	LM	ROSA DEL CUORE RDC0811 COL.3 	ROSA DEL CUORE 	53,82	65,6604
608	OPR.163946	61175672	LM	ROSA DEL CUORE RDC0818 COL.1 	ROSA DEL CUORE 	56,94	69,4668
609	OPR.163948	61175686	LM	ROSA DEL CUORE RDC0820 COL.2 	ROSA DEL CUORE 	82,68	100,8696
610	OPR.163950	61175700	LM	rosa del cuore rdc0822 col.2 	ROSA DEL CUORE 	155,22	189,3684
611	OPR.164138	61177338	LM	hera & luna hl9021 col.1 	HERA & LUNA 	246,48	300,7056
612	OPR.164199	61177877	LM	angelo futuro aft820 col.2 	ANGELO FUTURO 	103,74	126,5628
613	OPR.164212	61177989	LM	angelo futuro af9025 c1 	ANGELO FUTURO 	292,5	356,85
614	OPR.164213	61177996	LM	angelo futuro af9025 c2 	ANGELO FUTURO 	250,38	305,4636
615	OPR.164214	61178003	LM	angelo futuro af9025 c3 	ANGELO FUTURO 	187,2	228,384
616	OPR.164221	61178052	LM	hera & luna hl9014 col.2 	HERA & LUNA 	278,46	339,7212
617	OPR.164341	61179123	LM	ANGELO FUTURO AFT825 COL.1 	ANGELO FUTURO 	75,66	92,3052
618	OPR.164440	61180320	LM	quest-x qx 1010 col.14 	QUEST-X 	292,5	356,85
619	OPR.164441	61180327	LM	quest-x qx 1012 col.17 	QUEST-X 	230,88	281,6736
620	OPR.164442	61180334	LM	quest-x qx 1012 col.6 	QUEST-X 	286,26	349,2372
621	OPR.164443	61180341	LM	quest-x qx 1018 col.1 	QUEST-X 	295,62	360,6564
622	OPR.164444	61180348	LM	quest-x qx 1018 col.2 	QUEST-X 	215,28	262,6416
623	OPR.164446	61180362	LM	QUEST-X QX 1101 COL.1 	QUEST-X 	38,22	46,6284
624	OPR.164450	61180390	LM	quest-x qx 8742 col.2 	QUEST-X 	226,98	276,9156
625	OPR.164454	61180418	LM	quest-x qx 8754 col.1 	QUEST-X 	178,62	217,9164
626	OPR.164455	61180425	LM	quest-x qx 8754 col.2 	QUEST-X 	275,34	335,9148
627	OPR.164456	61180432	LM	quest-x qx 8756 col.1 	QUEST-X 	223,08	272,1576
628	OPR.164457	61180439	LM	QUEST-X QX 8756 COL.2 	QUEST-X 	74,1	90,402
629	OPR.164458	61180446	LM	rosa del cuore rdc0801 col.1 	ROSA DEL CUORE 	170,82	208,4004
630	OPR.164459	61180453	LM	ROSA DEL CUORE RDC0801 COL.2 	ROSA DEL CUORE 	37,44	45,6768
631	OPR.164460	61180460	LM	rosa del cuore rdc0801 col.3 	ROSA DEL CUORE 	269,1	328,302
632	OPR.164461	61180467	LM	rosa del cuore rdc0801 col.4 	ROSA DEL CUORE 	166,14	202,6908
633	OPR.164462	61180474	LM	rosa del cuore rdc0807 col.2 	ROSA DEL CUORE 	116,22	141,7884
634	OPR.164463	61180481	LM	rosa del cuore rdc0807 col.3 	ROSA DEL CUORE 	243,36	296,8992
635	OPR.164464	61180488	LM	rosa del cuore rdc0814 col.1 	ROSA DEL CUORE 	248,04	302,6088
636	OPR.164465	61180495	LM	ROSA DEL CUORE RDC0814 COL.3 	ROSA DEL CUORE 	79,56	97,0632
637	OPR.164466	61180502	LM	rosa del cuore rdc0820 col.1 	ROSA DEL CUORE 	141,18	172,2396
638	OPR.164467	61180509	LM	rosa del cuore rdc0820 col.3 	ROSA DEL CUORE 	298,74	364,4628
639	OPR.164468	61180516	LM	rosa del cuore rdc0821 col.1 	ROSA DEL CUORE 	275,34	335,9148
640	OPR.164469	61180523	LM	rosa del cuore rdc0821 col.2 	ROSA DEL CUORE 	158,34	193,1748
641	OPR.164470	61180530	LM	rosa del cuore rdc0821 col.3 	ROSA DEL CUORE 	100,62	122,7564
642	OPR.164472	61180544	LM	ROSA DEL CUORE RDC0823 COL.2 	ROSA DEL CUORE 	62,4	76,128
643	OPR.164473	61180551	LM	rosa del cuore rdc0823 col.3 	ROSA DEL CUORE 	178,62	217,9164
644	OPR.164474	61180558	LM	rosa del cuore rdc0825 col.1 	ROSA DEL CUORE 	266,76	325,4472
645	OPR.164475	61180565	LM	rosa del cuore rdc0825 col.2 	ROSA DEL CUORE 	141,18	172,2396
646	OPR.164476	61180572	LM	ROSA DEL CUORE RDC0825 COL.3 	ROSA DEL CUORE 	61,62	75,1764
647	OPR.164479	61180593	LM	rosa del cuore rdc0851 col.1 	ROSA DEL CUORE 	287,82	351,1404
648	OPR.164480	61180600	LM	rosa del cuore rdc0851 col.2 	ROSA DEL CUORE 	243,36	296,8992
649	OPR.164481	61180607	LM	rosa del cuore rdc0851 col.3 	ROSA DEL CUORE 	184,86	225,5292
650	OPR.164482	61180614	LM	rosa del cuore rdc0854 col.1 	ROSA DEL CUORE 	184,86	225,5292
651	OPR.164483	61180621	LM	ROSA DEL CUORE RDC0854 COL.2 	ROSA DEL CUORE 	43,68	53,2896
652	OPR.164484	61180628	LM	rosa del cuore rdc0854 col.3 	ROSA DEL CUORE 	138,84	169,3848
653	OPR.164518	61180915	LM	hera & luna hl9018 col.1 	HERA & LUNA 	202,02	246,4644
654	OPR.164519	61180922	LM	HERA & LUNA HL9019 COL.1 	HERA & LUNA 	77,22	94,2084
655	OPR.164531	61181006	LM	QUEST-X QX 8755 COL.3 	QUEST-X 	81,9	99,918
656	OPR.164563	61181307	LM	quest-x qx 1102 col.2 	QUEST-X 	281,58	343,5276
657	OPR.164565	61181321	LM	quest-x qx 8736 col.3 	QUEST-X 	255,84	312,1248
658	OPR.164567	61181335	LM	quest-x qx 8751 col.1 	QUEST-X 	230,88	281,6736
659	OPR.164568	61181342	LM	QUEST-X QX 8755 COL.2 	QUEST-X 	67,08	81,8376
660	OPR.164570	61181356	LM	quest-x 8748 col.3 	QUEST-X 	307,32	374,9304
661	OPR.164574	61181384	LM	quest-x qx 8746 col.3 	QUEST-X 	189,54	231,2388
662	OPR.164575	61181391	LM	quest-x qx 8747 col.1 	QUEST-X 	265,98	324,4956
663	OPR.164577	61181405	LM	quest-x qx 8752 col.3 	QUEST-X 	259,74	316,8828
664	OPR.164579	61181419	LM	rosa del cuore rdc0826 col.3 	ROSA DEL CUORE 	213,72	260,7384
665	OPR.164639	61182581	LM	angelo futuro aft847 col.1 	ANGELO FUTURO 	238,68	291,1896
666	OPR.164640	61182588	LM	angelo futuro aft847 col.2 	ANGELO FUTURO 	101,4	123,708
667	OPR.164641	61182595	LM	ANGELO FUTURO AFT847 COL.3 	ANGELO FUTURO 	88,14	107,5308
668	OPR.164653	61182679	LM	angelo futuro aft857 col.3 	ANGELO FUTURO 	247,26	301,6572
669	OPR.164671	61182805	LM	HERA & LUNA HL0815 COL.1 	HERA & LUNA 	46,02	56,1444
670	OPR.164672	61182812	LM	hera & luna hl0815 col.2 	HERA & LUNA 	220,74	269,3028
671	OPR.164673	61182819	LM	hera & luna hl0815 col.3 	HERA & LUNA 	230,1	280,722
672	OPR.164675	61182833	LM	hera & luna hl0816 col.2 	HERA & LUNA 	294,84	359,7048
673	OPR.164676	61182840	LM	hera & luna hl0816 col.3 	HERA & LUNA 	209,82	255,9804
674	OPR.164677	61182847	LM	hera & luna hl0817 col.1 	HERA & LUNA 	149,76	182,7072
675	OPR.164680	61182868	LM	angelo futuro aft758 col.4 	ANGELO FUTURO 	109,2	133,224
676	OPR.164681	61182875	LM	angelo futuro aft820 col.3 	ANGELO FUTURO 	187,98	229,3356
677	OPR.164944	61184758	LM	angelo futuro af9019 col.1 	ANGELO FUTURO 	195	237,9
678	OPR.164946	61184772	LM	angelo futuro aft844 col.1 	ANGELO FUTURO 	201,24	245,5128
679	OPR.164957	61184849	LM	quest-x qx8762 col.2 	QUEST-X 	309,66	377,7852
680	OPR.164958	61184856	LM	QUEST-X QX8762 COL.3 	QUEST-X 	69,42	84,6924
681	OPR.164963	61184891	LM	quest-x qx8782 col.1 	QUEST-X 	124,02	151,3044
682	OPR.164964	61184898	LM	quest-x qx8782 col.2 	QUEST-X 	308,88	376,8336
683	OPR.164977	61184989	LM	quest-x qx8775 col.3 	QUEST-X 	227,76	277,8672
684	OPR.164978	61184996	LM	angelo futuro af9019 col.2 	ANGELO FUTURO 	155,22	189,3684
685	OPR.164980	61185010	LM	angelo futuro aft858 col.3 	ANGELO FUTURO 	156,78	191,2716
686	OPR.164981	61185017	LM	hera & luna hl795 col.1 	HERA & LUNA 	165,36	201,7392
687	OPR.164983	61185031	LM	hera & luna hl9013 col.1 	HERA & LUNA 	128,7	157,014
688	OPR.164984	61185038	LM	hera & luna hl9018 col.3 	HERA & LUNA 	269,88	329,2536
689	OPR.164985	61185045	LM	hera & luna hl9019 col.3 	HERA & LUNA 	109,98	134,1756
690	OPR.164997	61185129	LM	quest-x qx8765 col.3 	QUEST-X 	160,68	196,0296
691	OPR.164999	61185143	LM	QUEST-X QX8782 COL.3 	QUEST-X 	58,5	71,37
692	OPR.165016	61185276	LM	quest-x qx1103 col.1 	QUEST-X 	234,78	286,4316
693	OPR.165020	61185304	LM	quest-x qx8774 col.3 	QUEST-X 	194,22	236,9484
694	OPR.165022	61185318	LM	rosa del cuore rdc0853 col.3 	ROSA DEL CUORE 	170,82	208,4004
695	OPR.165044	61185472	LM	angelo futuro a625 c084 	ANGELO FUTURO 	236,34	288,3348
696	OPR.165052	61185528	LM	quest-x qx8762 col.1 	QUEST-X 	283,92	346,3824
697	OPR.165055	61185549	LM	rosa del cuore rdc0816 col.1 	ROSA DEL CUORE 	138,84	169,3848
698	OPR.165080	61185731	LM	angelo futuro aft776 col.3 	ANGELO FUTURO 	103,74	126,5628
699	OPR.165082	61185745	LM	angelo futuro aft803 col.3 	ANGELO FUTURO 	292,5	356,85
700	OPR.165171	61186368	LM	quest-x qx8766 col.1 	QUEST-X 	207,48	253,1256
701	OPR.165172	61186375	LM	quest-x qx8766 col.2 	QUEST-X 	131,82	160,8204
702	OPR.165173	61186382	LM	rosa del cuore rdc0816 col.2 	ROSA DEL CUORE 	255,84	312,1248
703	OPR.165380	61187831	LM	quest-x qx1018 col.3 	QUEST-X 	215,28	262,6416
704	OPR.165382	61187845	LM	rosa del cuore rdc0602 col.1 	ROSA DEL CUORE 	249,6	304,512
705	OPR.165385	61187866	LM	rosa del cuore rdc0818 col.2 	ROSA DEL CUORE 	281,58	343,5276
706	OPR.165386	61187873	LM	ROSA DEL CUORE RDC0828 COL.2 	ROSA DEL CUORE 	49,14	59,9508
707	OPR.165387	61187880	LM	rosa del cuore rdc0828 col.3 	ROSA DEL CUORE 	246,48	300,7056
708	OPR.165423	61188132	LM	hera & luna hl0795 col.2 	HERA & LUNA 	308,88	376,8336
709	OPR.165450	61188349	LM	QUEST-X QX8755 COL.1 	QUEST-X 	67,86	82,7892
710	OPR.165454	61188377	LM	quest-x qx8765 col.2 	QUEST-X 	212,94	259,7868
711	OPR.165459	61188412	LM	quest-x qx8779 col.3 	QUEST-X 	124,02	151,3044
712	OPR.165460	61188419	LM	quest-x qx8781 col.1 	QUEST-X 	283,14	345,4308
713	OPR.165462	61188433	LM	hera & luna hl9018 col.2 	HERA & LUNA 	250,38	305,4636
714	OPR.165466	61188461	LM	quest-x qx8781 col.3 	QUEST-X 	283,92	346,3824
715	OPR.165468	61188475	LM	rosa del cuore rdc0705 col.1 	ROSA DEL CUORE 	163,8	199,836
716	OPR.165495	61188664	LM	quest-x qx8731 col.2 	QUEST-X 	301,86	368,2692
717	OPR.165500	61188699	LM	quest-x qx8746 col.2 	QUEST-X 	138,06	168,4332
718	OPR.165506	61188741	LM	QUEST-X QX8781 COL.2 	QUEST-X 	60,06	73,2732
719	OPR.165509	61188762	LM	rosa del cuore rdc0817 col.1 	ROSA DEL CUORE 	205,92	251,2224
720	OPR.165510	61188769	LM	rosa del cuore rdc0826 col.1 	ROSA DEL CUORE 	213,72	260,7384
721	OPR.165511	61188776	LM	rosa del cuore rdc0826 col.2 	ROSA DEL CUORE 	191,1	233,142
722	OPR.165546	61189021	LM	hera & luna hl7009 col.3 	HERA & LUNA 	141,18	172,2396
723	OPR.165573	61189294	LM	hera & luna hl1001 col.1 	HERA & LUNA 	207,48	253,1256
724	OPR.165576	61189315	LM	hera & luna hl1002 col.2 	HERA & LUNA 	138,84	169,3848
725	OPR.165590	61189413	LM	quest-x qx1102 col.1 	QUEST-X 	230,1	280,722
726	OPR.165591	61189420	LM	QUEST-X QX8750 COL.1 	QUEST-X 	34,32	41,8704
727	OPR.165592	61189427	LM	quest-x qx8750 col.2 	QUEST-X 	228,54	278,8188
728	OPR.165593	61189434	LM	QUEST-X QX8750 COL.3 	QUEST-X 	63,18	77,0796
729	OPR.165604	61189511	LM	quest-x qx8765 col.1 	QUEST-X 	125,58	153,2076
730	OPR.165820	61191051	LM	ANGELO FUTURO AFT858 COL.1 	ANGELO FUTURO 	65,52	79,9344
731	OPR.165822	61191065	LM	HERA & LUNA HL0810 COL.1 	HERA & LUNA 	52,26	63,7572
732	OPR.165983	61192444	LM	quest-x qx 8746 col.1 	QUEST-X 	191,1	233,142
733	OPR.165988	61192479	LM	ROSA DEL CUORE RDC0828 COL.1 	ROSA DEL CUORE 	93,6	114,192
734	OPR.165989	61192486	LM	rosa del cuore rdc0829 col.1 	ROSA DEL CUORE 	206,7	252,174
735	OPR.165990	61192493	LM	rosa del cuore rdc0829 col.2 	ROSA DEL CUORE 	125,58	153,2076
736	OPR.166381	61195552	LM	angelo futuro aft822 col.1 	ANGELO FUTURO 	209,82	255,9804
737	OPR.166383	61195566	LM	rosa del cuore rdc0814 col.2 	ROSA DEL CUORE 	219,18	267,3996
738	OPR.166384	61195573	LM	rosa del cuore rdc0817 col.2 	ROSA DEL CUORE 	127,14	155,1108
739	OPR.166662	61198394	LM	rosa del cuore rdc0725 col.1 	ROSA DEL CUORE 	159,12	194,1264
740	OPR.166664	61198408	LM	rosa del cuore rdc601 col.2 	ROSA DEL CUORE 	308,1	375,882
741	OPR.166754	61200690	LM	hera & luna hl2639-07 col.2 	HERA & LUNA 	241,02	294,0444
742	OPR.167014	61202629	LM	HERA & LUNA HL819 COL.4 	HERA & LUNA 	33,54	40,9188
743	OPR.167015	61202636	LM	quest-x qx8739 col.4 	QUEST-X 	248,04	302,6088
744	OPR.167370	61205408	LM	ANGELO FUTURO AF0501 COL.01 	ANGELO FUTURO 	82,68	100,8696
745	OPR.167371	61205415	LM	angelo futuro af0501 col.02 	ANGELO FUTURO 	301,08	367,3176
746	OPR.167372	61205422	LM	angelo futuro af0901 col.01 	ANGELO FUTURO 	121,68	148,4496
747	OPR.167373	61205429	LM	ANGELO FUTURO AFT776 COL.1 	ANGELO FUTURO 	92,04	112,2888
748	OPR.167374	61205436	LM	angelo futuro aft776 col.2 	ANGELO FUTURO 	180,96	220,7712
749	OPR.167456	61206024	LM	hera & luna hl0135 col.5 	HERA & LUNA 	268,32	327,3504
750	OPR.167457	61206031	LM	HERA & LUNA HL0702 COL.3 	HERA & LUNA 	92,04	112,2888
751	OPR.167458	61206038	LM	hera & luna hl9006 col.3 	HERA & LUNA 	176,28	215,0616
752	OPR.167459	61206045	LM	hera & luna hl9019 col.2 	HERA & LUNA 	214,5	261,69
753	OPR.167476	61206164	LM	quest-x qx8779 col.1 	QUEST-X 	300,3	366,366
754	OPR.168517	61215187	LM	ANGELO FUTURO AF9027 COL.1 	ANGELO FUTURO 	80,34	98,0148
755	OPR.168518	61215194	LM	angelo futuro af9027 col.2 	ANGELO FUTURO 	209,04	255,0288
756	OPR.168519	61215201	LM	angelo futuro af9027 col.3 	ANGELO FUTURO 	143,52	175,0944
757	OPR.168520	61215208	LM	angelo futuro af9028 col.1 	ANGELO FUTURO 	175,5	214,11
758	OPR.168521	61215215	LM	angelo futuro af9028 col.2 	ANGELO FUTURO 	265,2	323,544
759	OPR.168522	61215222	LM	angelo futuro af9028 col.3 	ANGELO FUTURO 	311,22	379,6884
760	OPR.168523	61215229	LM	ANGELO FUTURO AF9030 COL.1 	ANGELO FUTURO 	61,62	75,1764
761	OPR.168524	61215236	LM	angelo futuro af9030 col.2 	ANGELO FUTURO 	229,32	279,7704
762	OPR.168528	61215264	LM	ANGELO FUTURO AFT859 COL.1 	ANGELO FUTURO 	42,12	51,3864
763	OPR.168529	61215271	LM	angelo futuro aft859 col.2 	ANGELO FUTURO 	287,04	350,1888
764	OPR.168530	61215278	LM	angelo futuro aft859 col.4 	ANGELO FUTURO 	251,16	306,4152
765	OPR.168531	61215285	LM	angelo futuro aft860 col.1 	ANGELO FUTURO 	251,94	307,3668
766	OPR.168532	61215292	LM	angelo futuro aft860 col.2 	ANGELO FUTURO 	188,76	230,2872
767	OPR.168533	61215299	LM	angelo futuro aft860 col.3 	ANGELO FUTURO 	163,8	199,836
768	OPR.168537	61215327	LM	angelo futuro aft862 col.1 	ANGELO FUTURO 	306,54	373,9788
769	OPR.168538	61215334	LM	angelo futuro aft862 col.2 	ANGELO FUTURO 	233,22	284,5284
770	OPR.168539	61215341	LM	ANGELO FUTURO AFT862 COL.3 	ANGELO FUTURO 	32,76	39,9672
771	OPR.168540	61215348	LM	angelo futuro aft863 col.1 	ANGELO FUTURO 	159,9	195,078
772	OPR.168541	61215355	LM	angelo futuro aft863 col.2 	ANGELO FUTURO 	282,36	344,4792
773	OPR.168542	61215362	LM	angelo futuro aft863 col.3 	ANGELO FUTURO 	180,96	220,7712
774	OPR.168543	61215369	LM	ANGELO FUTURO AFT865 COL.1 	ANGELO FUTURO 	93,6	114,192
775	OPR.168544	61215376	LM	angelo futuro aft865 col.2 	ANGELO FUTURO 	212,16	258,8352
776	OPR.168545	61215383	LM	angelo futuro aft865 col.3 	ANGELO FUTURO 	171,6	209,352
777	OPR.168554	61215446	LM	angelo futuro aft875 col.2 	ANGELO FUTURO 	281,58	343,5276
778	OPR.168555	61215453	LM	angelo futuro aft875 col.3 	ANGELO FUTURO 	249,6	304,512
779	OPR.168564	61215516	LM	HERA & LUNA HL0838 COL.1 	HERA & LUNA 	34,32	41,8704
780	OPR.168565	61215523	LM	hera & luna hl0838 col.2 	HERA & LUNA 	231,66	282,6252
781	OPR.168566	61215530	LM	hera & luna hl0838 col.3 	HERA & LUNA 	182,52	222,6744
782	OPR.168567	61215537	LM	hera & luna hl0843 col.1 	HERA & LUNA 	258,18	314,9796
783	OPR.168568	61215544	LM	HERA & LUNA HL0843 COL.2 	HERA & LUNA 	94,38	115,1436
784	OPR.168569	61215551	LM	HERA & LUNA HL0843 COL.3 	HERA & LUNA 	84,24	102,7728
785	OPR.168570	61215558	LM	hera & luna hl0844 col.1 	HERA & LUNA 	122,46	149,4012
786	OPR.168571	61215565	LM	HERA & LUNA HL0844 COL.2 	HERA & LUNA 	57,72	70,4184
787	OPR.168572	61215572	LM	hera & luna hl0844 col.3 	HERA & LUNA 	122,46	149,4012
788	OPR.168573	61215579	LM	HERA & LUNA HL9023 COL.1 	HERA & LUNA 	53,82	65,6604
789	OPR.168574	61215586	LM	hera & luna hl9023 col.2 	HERA & LUNA 	122,46	149,4012
790	OPR.168575	61215593	LM	hera & luna hl9023 col.3 	HERA & LUNA 	180,18	219,8196
791	OPR.168667	61216314	LM	rosa del cuore rdc604 col.3 	ROSA DEL CUORE 	287,82	351,1404
792	OPR.168933	61218589	LM	rosa del cuore rdc604 col.1 52 	ROSA DEL CUORE 	139,62	170,3364
793	OPR.168934	61218596	LM	rosa del cuore rdc604 col.2 	ROSA DEL CUORE 	149,76	182,7072
794	OPR.168976	61218897	LM	ANGELO FUTURO AFT875 COL.1 	ANGELO FUTURO 	66,3	80,886
795	OPR.169178	61220437	LM	rosa del cuore rdc0708 col.2 	ROSA DEL CUORE 	290,94	354,9468
796	OPR.169203	61220731	LM	angelo futuro af-t870 col.1 	ANGELO FUTURO 	222,3	271,206
797	OPR.169204	61220738	LM	ANGELO FUTURO AF-T872 COL.1 	ANGELO FUTURO 	31,98	39,0156
798	OPR.169205	61220745	LM	angelo futuro af-t872 col.2 	ANGELO FUTURO 	193,44	235,9968
799	OPR.169206	61220752	LM	angelo futuro af-t872 col.3 	ANGELO FUTURO 	221,52	270,2544
800	OPR.169268	61221347	LM	angelo futuro af-t870 col.2 	ANGELO FUTURO 	186,42	227,4324
801	OPR.169269	61221354	LM	angelo futuro af-t871 col.2 	ANGELO FUTURO 	248,82	303,5604
802	OPR.169274	61221389	LM	quest-x qx8711 col.2 	QUEST-X 	287,82	351,1404
803	OPR.169276	61221403	LM	angelo futuro aft873 col.1 	ANGELO FUTURO 	177,84	216,9648
804	OPR.169278	61221417	LM	angelo futuro aft873 col.2 	ANGELO FUTURO 	187,2	228,384
805	OPR.169538	61224959	LM	quest-x qx1019 col.02 	QUEST-X 	162,24	197,9328
806	OPR.169540	61224973	LM	QUEST-X QX8742A COL.2 	QUEST-X 	49,92	60,9024
807	OPR.169541	61224980	LM	quest-x qx8742a col.3 	QUEST-X 	209,82	255,9804
808	OPR.169578	61225302	LM	ANGELO FUTURO AFT870 COL.3 	ANGELO FUTURO 	78	95,16
809	OPR.169592	61225400	LM	hera & luna hl839 col.1 	HERA & LUNA 	303,42	370,1724
810	OPR.169653	61226184	LM	angelo futuro aft890 col.2 	ANGELO FUTURO 	151,32	184,6104
811	OPR.169654	61226191	LM	ANGELO FUTURO AFT890 COL.3 	ANGELO FUTURO 	67,08	81,8376
812	OPR.169664	61226261	LM	HERA & LUNA HL0837 COL.1 	HERA & LUNA 	71,76	87,5472
813	OPR.169665	61226268	LM	hera & luna hl0837 col.2 	HERA & LUNA 	294,84	359,7048
814	OPR.169666	61226275	LM	HERA & LUNA HL0837 COL.3 	HERA & LUNA 	54,6	66,612
815	OPR.169667	61226282	LM	hera & luna hl0839 col.1 	HERA & LUNA 	163,8	199,836
816	OPR.169668	61226289	LM	HERA & LUNA HL0839 COL.2 	HERA & LUNA 	77,22	94,2084
817	OPR.169669	61226296	LM	hera & luna hl0839 col.3 	HERA & LUNA 	288,6	352,092
818	OPR.169670	61226303	LM	hera & luna hl0840as col.1 	HERA & LUNA 	187,2	228,384
819	OPR.169673	61226324	LM	hera & luna hl0840 col.1 	HERA & LUNA 	148,98	181,7556
820	OPR.169676	61226345	LM	hera & luna hl0840 col.4 	HERA & LUNA 	109,2	133,224
821	OPR.169679	61226366	LM	hera & luna hl0841 col.1 	HERA & LUNA 	279,24	340,6728
822	OPR.169680	61226373	LM	hera & luna hl0841 col.3 	HERA & LUNA 	177,06	216,0132
