nazwisko,liczba
BORDIEHN,13
BORKENHAGEN,13
BORODULIN,13
BORSICH,13
BORTOWSKA,13
BORUDZKA,13
BORUTHA,13
BORUTKO,13
BORYŁA,13
BOTHOR,13
BOURDON,13
BOVKUN,13
BOWEN,13
BOŁTACZ,13
BOŻENTA,13
BOŻYMOWSKA,13
BRACHFOGEL,13
BRANDEBURSKA,13
BRANDEL,13
BRANDSTÄTTER,13
BRANNA,13
BREDZIŃSKA,13
BREGIN,13
BRENSKA,13
BRIDGES,13
BRODSKA,13
BROLER,13
BROMCZEWSKA,13
BROMMA,13
BRONK-MARWICZ,13
BRUNKALLA,13
BRUSK,13
BRYFCZYŃSKA,13
BRZECHFA,13
BRZECHOWSKA,13
BRZENZKA,13
BRZESKI,13
BRZYWCY,13
BUCHATZ,13
BUCHCAR,13
BUCHELD,13
BUCIO,13
BUDENKO,13
BUDYK,13
BUFF,13
BUJAK VEL BUJAKOWSKA,13
BUJOR,13
BUKATKO,13
BUKIELSKA,13
BUKITA,13
BUKSZTYNOWICZ,13
BULAVA,13
BULDAŃCZYK,13
BUMAŻNIK,13
BUNTKOWSKA,13
BUNZEL,13
BURCZYKOWSKA,13
BURDZA,13
BURENKO,13
BURGAT,13
BURKHARD,13
BURKIVSKA,13
BURLAK,13
BURLIK,13
BURNETA,13
BURNETKO,13
BURNEWICZ,13
BURON,13
BURTNIAK,13
BURŁAK,13
BURŁATENKO,13
BUSZCZYK,13
BUTE,13
BUTELO,13
BUTRYNOWICZ,13
BUZIKOWSKA,13
BUŁACZYŃSKA,13
BUŁECZKA,13
BYCHOWIEC,13
BYCZ,13
BYM,13
BYRECKA,13
BYTNEROWICZ,13
BÓRKOWSKA,13
BĄBERSKA,13
BĄBOLSKA,13
BĄZI,13
BĘDZA,13
BĘDZELEWSKA,13
BĘSKA,13
BŁAWDZIEWICZ,13
BŁYK,13
BŁYSKOŃ,13
CABLEWSKA,13
CAHILL,13
CAJZA,13
CALIKOWSKA,13
CALOW,13
CANGE,13
CATTANEO,13
CAŁUJAK,13
CAŁUZIŃSKA,13
CAŁYNIUK,13
CEBLOWSKA,13
CECHNOWSKA,13
CEDRYCH,13
CEDZIK,13
CEGIELSKI,13
CELEBĄK,13
CEMER,13
CENCNER,13
CENTLIK,13
CERAFIN,13
CERANKOWSKA,13
CERKANOWICZ,13
CERONIK,13
CETLIŃSKA,13
CHADAJSKA,13
CHADRIAN,13
CHAIN,13
CHAJDUŚ,13
CHAJDZIONY,13
CHAJTER,13
CHAK,13
CHAMERKE,13
CHAMOŃ,13
CHAMRYGA,13
CHAPLIA,13
CHAPLYHINA,13
CHARBICKA,13
CHARLĘŻA,13
CHARMAST,13
CHAUS,13
CHAWRAJ,13
CHAŁAŚKIEWICZ,13
CHECIAK,13
CHEPAK,13
CHI,13
CHIANG,13
CHIMCZAK,13
CHINOWSKA,13
CHIRA,13
CHMAROWSKA,13
CHMIAŁA,13
CHODAS,13
CHODERSKA,13
CHOINSKA,13
CHOJENKOWSKA,13
CHOLEWINSKA,13
CHOLOVSKA,13
CHONG,13
CHONIEJ,13
CHORBOT,13
CHORNOMAZ,13
CHORNOUS,13
CHRABĄSZCZEWICZ,13
CHRISTA,13
CHROMCZUK,13
CHRONCHOL,13
CHRUSTALEW,13
CHRYPANKOWSKA,13
CHRYŚCINA,13
CHRZON,13
CHRZUSTEK,13
CHRĄŚCIEL,13
CHSZCZANOWICZ,13
CHUCHŁA,13
CHUCZ,13
CHUD,13
CHUDOWICZ,13
CHUDYSZEWICZ,13
CHUDZIK-LIPKA,13
CHUKHRII,13
CHULIST,13
CHUMICKA,13
CHUMSKA,13
CHUPKA,13
CHURCH,13
CHURSINA,13
CHUSZNO,13
CHUT,13
CHUŁEK,13
CHWALBIŃSKA,13
CHWASTOW,13
CHWEDZIAK,13
CHWIESZCZENIK,13
CHYBIK,13
CHYRUK,13
CHYSTIAKOVA,13
CHYTRYK,13
CHĄCIAK,13
CHĄDZEL,13
CHĘDOSZKO,13
CHŁODZIK,13
CHŁĘDZIK,13
CIACHAROWSKA,13
CIAPTACZ,13
CICHECKI,13
CIEBLA,13
CIECHLECKA,13
CIELON,13
CIEMIĘS,13
CIERACHOWSKA,13
CIESZYKOWSKA,13
CILWICKA,13
CIMANOWSKA,13
CIMIĘGA,13
CINKEL,13
CIOFANI,13
CIONŻYŃSKA,13
CIOPCIA,13
CISTOWSKA,13
CISZONEK,13
CITKOWICZ-JURKIEWICZ,13
CITKÓW,13
CIUKSA,13
CIUMA,13
CIUMASZKO,13
CIURARU,13
CIURON,13
CIĘGLEWICZ,13
CIĘTAK,13
CIŻMA,13
COCHAL,13
COCHARA,13
COJUHARI,13
COLLIN,13
COMAN,13
COMPERLIK,13
CONGIU,13
COULIBALY,13
COUSINS,13
COŁOSZYŃSKA,13
CROWE,13
CUMMINGS,13
CURAJ,13
CYCON,13
CYJAN,13
CYLNY,13
CYNKARZ,13
CYPIONKA,13
CYRAK,13
CYRNIK,13
CYRZYK,13
CZACKA,13
CZADROWSKA,13
CZAKAN,13
CZAPRAGA,13
CZARNIALIS,13
CZARNIEWICZ,13
CZARNOMORZEC,13
CZARZBON,13
CZASUN,13
CZASŁAWSKA,13
CZAŁCZYŃSKA,13
CZECHOWSKI,13
CZECZEL,13
CZEKA,13
CZEKIER,13
CZEREMUSZKIN,13
CZEREPKOW,13
CZERESZKIEWICZ,13
CZERNOUS,13
CZERNYHOWSKA,13
CZESNAR,13
CZESNEL,13
CZIESZOWIC,13
CZOS,13
CZUBILIŃSKA,13
CZUBLON,13
CZUDŻAK,13
CZUMAKOW,13
CZUMER,13
CZUPCZYŃSKA,13
CZUPRZYŃSKA,13
CZURO,13
CZWIKLIŃSKA,13
CZYPIOR,13
CZYTOWSKA,13
CZYŻNIAKOWSKA,13
CĘBROWSKA,13
D'AGOSTINO,13
DABAGHYAN,13
DACHWITZ,13
DACIEK,13
DADEK,13
DAHLE,13
DAHLMANN,13
DAHMANI,13
DAJCZUK,13
DAJWORSKA,13
DALEK,13
DALIDA,13
DALL,13
DALTON,13
DANHOFER,13
DANHOFFER,13
DANIELKOWSKA,13
DANIELSEN,13
DANIŁKÓW,13
DARMASZEK,13
DARMOID,13
DARWIŃSKA,13
DASZEWICZ,13
DATSKIV,13
DAWIDUK,13
DE LANGE,13
DE LORME,13
DECNER,13
DEDE,13
DEGENHARDT,13
DELANEY,13
DEMENKO,13
DEMKOVYCH,13
DENSŁAW,13
DERANGOWSKA,13
DERBER,13
DERGUN,13
DERLICHOWSKA,13
DERYMACKA,13
DERĘDOWSKA,13
DESSOULAVY,13
DESZKA,13
DETHLOFF,13
DETTLAF,13
DEUAR,13
DEWECKA,13
DI MARCO,13
DIA,13
DIAKIEWICZ,13
DIAKITE,13
DICKERT,13
DILC,13
DILL,13
DIMOS,13
DISCHER,13
DIUK,13
DJACZENKO,13
DMITRYJUK,13
DMYSZEWICZ,13
DOBREWSKA,13
DOBRYANSKA,13
DOBRZYCKI,13
DOBRZYJAŁOWSKA,13
DOCZUMIŃSKA,13
DODD,13
DOEGE,13
DOJAN,13
DOJLITKO,13
DOLEBA,13
DOLEJ,13
DOLIDA,13
DOLINIAK,13
DOLINIEC,13
DOLIŃSKI,13
DOMAGALA,13
DOMICHOWSKA,13
DOMINIAK-GÓRSKA,13
DOMINICKA,13
DOMINÓW,13
DOMIRSKA,13
DOMRAZEK,13
DONTEN,13
DOPEK,13
DORBACH,13
DOROSHUK,13
DORŻYNKIEWICZ,13
DOSZYŃ,13
DOVHANIUK,13
DOŁEMSKA,13
DOŁOBOWSKA,13
DOŃCZEWSKA,13
DRABO,13
DRACHEL,13
DRAEGER,13
DRAHAJM,13
DRAKE,13
DRAKS,13
DRANC,13
DRAPEJKOWSKA,13
DRASS,13
DRAŻBO,13
DRENKOWSKA,13
DREWITZ,13
DROBINIAK,13
DROFISZYN,13
DROSTE,13
DROTLEW,13
DROZDAKIEWICZ,13
DROŻDZIEL,13
DROŻDZIK,13
DRUTO,13
DRUZHYNINA,13
DRYHUSZ,13
DRÓŻBIK,13
DRĄŻYKOWSKA,13
DUBENKO,13
DUBNIEWSKA,13
DUBROVA,13
DUBROW,13
DUCHEŃSKA,13
DUDNICZEK,13
DUJANOWICZ,13
DUKINDORF,13
DUMIEC,13
DURMAZ,13
DURYCH,13
DUSAK,13
DUSZLAK,13
DUSZNIAK,13
DUSZYŃSKI,13
DYDEJCZYK,13
DYFIŃSKA,13
DYGDAŁA,13
DYGORDA,13
DYKAW,13
DYKCZYŃSKA,13
DYLAS,13
DYLCZAK,13
DYMITRY,13
DYNAŚ,13
DYNCER,13
DYPCZYŃSKA,13
DYRC,13
DYRLICA,13
DYRMO,13
DYSZCZYŃSKA,13
DYSZLOWSKA,13
DYTYNIAK,13
DYWOŃSKA,13
DYZIA,13
DZENISIUK,13
DZIADURSKA,13
DZIECHCIAR,13
DZIECIAK,13
DZIEMBAJ,13
DZIENIECKA,13
DZIERGACZ,13
DZIERMA,13
DZIERZAN,13
DZIERZOK,13
DZIEWIACIEŃ,13
DZIEWIENTKOWSKA,13
DZIEWIERCZAK,13
DZIKON,13
DZIONDZIAKOWSKA,13
DZIUBIŃSKI,13
DZIUDZIO,13
DZIUR,13
DZIWUSZ,13
DZIĄCKO,13
DÜRR,13
DÜRSCHLAG,13
DĄBCZYŃSKA,13
DĄBROWA-KARASIŃSKA,13
DĘBOWSKI,13
DŁUGOLAŃSKA,13
DŁUGOPOLSKI,13
DŁUGOSIELSKA,13
DŻALOK,13
DŻAŁA,13
ECHTA,13
EDLING,13
EFFERT,13
EFIMENKO,13
EGNER,13
EHRENTRAUT,13
EIGNER,13
EISENTRAUT,13
EISMANT,13
EITEL,13
EJBIN,13
EJZERMAN,13
EKINCI,13
EKOWSKA,13
EL SAYED,13
ELBRYCH,13
ELIMINOWICZ,13
ELING,13
ELMANN,13
EMERYK,13
ENGELARD,13
ENGELBERG,13
EPPA,13
EPSZTEIN,13
ER,13
ERDON,13
ERLEKAMPF,13
ERMISZ,13
ERYNG,13
ESER,13
ETENKOWSKA,13
ETRYCH,13
EYSMONT,13
EZOP,13
FABBRI,13
FABIK,13
FAGIN,13
FAJFUR,13
FAJNKUCHEN,13
FAJĘCKA,13
FALASZEK,13
FALENDYSZ,13
FALKENSTEIN,13
FALOWSKA,13
FAMULICKA,13
FAMURAT,13
FANZLOCH,13
FARAJ,13
FARENHOLC,13
FARHAT,13
FATERKOWSKA,13
FAŁKIEWICZ,13
FEBER,13
FEDOROVSKA,13
FEDOROŃKO,13
FEDOSIEIEVA,13
FEDRYNA,13
FEDUSZCZAK,13
FELBEL,13
FELLENBERG,13
FERCH,13
FERDUŁA,13
FERLIŃSKA,13
FICYK,13
FIDEK,13
FIDYRKO,13
FIDÓR,13
FIGGER,13
FIGOL,13
FIGUREWICZ,13
FIJAŁKO,13
FIKSIŃSKA,13
FILIMONIAK,13
FILINSKA,13
FINDER,13
FINECZKO,13
FINKIELSZTEIN,13
FINOKIET,13
FIRAS,13
FIRYCH,13
FISHCHUK,13
FISHMAN,13
FIUGAJSKA,13
FIUTAKIEWICZ,13
FLAM,13
FLEURY,13
FLOOD,13
FLORSZ,13
FLÜGEL,13
FLĄT,13
FOHS,13
FOJTOWICZ,13
FOLATKO,13
FOLKMER,13
FONKIEWICZ,13
FORT,13
FORTE,13
FORTOŃSKA,13
FORYTARZ,13
FOSZER,13
FOURIE,13
FRAJCZYK,13
FRALOVA,13
FRANIASZ,13
FRANKIEL,13
FRANUSIEWICZ,13
FREYTER,13
FROHMBERG,13
FROLOW,13
FRYKACZ,13
FRĄCZEWSKA,13
FUCZKIEWICZ,13
FUDALSKA,13
FUDEL,13
FUNKIEWICZ,13
FURKA,13
FURSO,13
FURSOVA,13
FUSCO,13
FUSOWSKA,13
FUŻEWSKA,13
FĘGLERSKA,13
FŰRST,13
GABLEWSKA,13
GABRYNIAK,13
GACIARZ,13
GACIŃSKA,13
GACUR,13
GACZOR,13
GADAEVA,13
GADEJSKA,13
GADZIALSKA,13
GADZIK,13
GAFK,13
GAIDUK,13
GALAROWSKA,13
GALINIAK,13
GANDERSKA,13
GANTZ,13
GANUSZKO,13
GARBACIŃSKA,13
GARBACZOK,13
GARBARUK,13
GARDINER,13
GARDYSIAK,13
GARG,13
GARŻEL,13
GASEWICZ,13
GASMI,13
GAWADZIŃSKA,13
GAWALSKA,13
GAWRIŁOW,13
GAWRUK,13
GAWRYS,13
GAŁAGUS,13
GAŁATA,13
GAŁYCZ,13
GAŁĘŹNIAK,13
GAŃSZCZYK,13
GBEL,13
GEDAMKE,13
GELLERA,13
GEMBOŁYS,13
GEMZICKA,13
GEORGESCU,13
GEPPART,13
GERATOWSKA,13
GEREŁO,13
GERMANN,13
GERNATOWSKA,13
GERSTBERGER,13
GERSTMANN,13
GHEORGHE,13
GICELA,13
GIECEK,13
GIEDZIUSZEWICZ,13
GIELERT,13
GIELKA,13
GIELTOWSKA,13
GIELŻYŃSKA,13
GIEMULLA,13
GIERANIN,13
GIERCHOWSKA,13
GIERGICZNA,13
GIEŻYŃSKA,13
GIGAURI,13
GILMORE,13
GILOS,13
GINIOWIEC,13
GIUFFRIDA,13
GIZELEWSKA,13
GJINI,13
GLAESMANN,13
GLESMAN,13
GLOD,13
GLON,13
GLOT,13
GLOVER,13
GLUECK,13
GLÖCKNER,13
GMITRZYK,13
GNACIEWICZ,13
GNATKIEWICZ,13
GNATYK,13
GNECH,13
GNYL,13
GOD,13
GODERA,13
GODLIŃSKA,13
GODNIEWICZ,13
GOERTZ,13
GOGNIAT,13
GOGOSZA,13
GOHLKE,13
GOLDISZEWICZ,13
GOLESZNY,13
GOLEŚNIEWSKA,13
GOLIASCH,13
GOLLER,13
GOLMONTOWICZ,13
GOLOVATA,13
GONCZ,13
GONERKO,13
GONTASZEWSKA,13
GONZALES,13
GORANIN,13
GORCZYC,13
GORGEL,13
GORNIA,13
GORNY,13
GOROCHOWIK,13
GORSZKOWSKA,13
GORUK,13
GOSECKA,13
GOSUDARSKA,13
GOTFRYDZIAK,13
GOTTSCHLICH,13
GOYAL,13
GOĆWIN,13
GOŁASZEWSKI,13
GOŁOST,13
GOŁĘBIEWSKI,13
GOŃCA,13
GOŚCIŃCZYK,13
GOŚLINOWSKA,13
GOŚNIOWSKA,13
GRABUSIEWICZ,13
GRACISZEWSKA,13
GRANIC,13
GRANITZA,13
GRANOSZEK,13
GRASKA,13
GRATH,13
GRAVES,13
GREGORZ,13
GREJC,13
GRELOW,13
GRENICH,13
GRENZEL,13
GRITZNER,13
GROCHULA,13
GROFFIK,13
GROMBA,13
GROMOLAK,13
GRONCIKOWSKA,13
GRONCZAKIEWICZ,13
GRONDZIOK,13
GRONICKA,13
GRONOSTAL,13
GROSU,13
GROTOWICZ,13
GROYECKA,13
GROŃCZAK,13
GRUDZIEL,13
GRUSZCZELAK,13
GRYGOŁOWICZ,13
GRYKIEL,13
GRYLOWSKA,13
GRYNDZIAK,13
GRYNIEWIECKA,13
GRZELKIEWICZ,13
GRZESZ,13
GRZEWCA,13
GRZYMIESŁAWSKA,13
GRZYWNY,13
GRZYŚNIK,13
GRÄSER,13
GRÜTZNER,13
GRĄKOWSKA,13
GRĄZIEWICZ,13
GUCWIŃSKA,13
GUDACZ,13
GUDAŃSKA,13
GUIDA,13
GUMOSIŃSKA,13
GUNDER,13
GUNDLACH,13
GURESZ,13
GURNIEWICZ,13
GUSAR,13
GUSTOŁEK,13
GWARDENCKA,13
GWINER,13
GWIZDALAK,13
GWOŹDZIAK,13
GZIKOWSKA,13
GÓRAZDOWSKA,13
GÓRDZIEL,13
GÓRNOWSKA,13
GÖRLITZ,13
GÜRBÜZ,13
GĄSIENICA-BYRCYN,13
GĘBALIK,13
GŁADCZYŃSKA,13
GŁASZCZAK,13
GŁOWAK,13
GŁOWNICKA,13
GŁOWOC,13
GŁUSZCZYSZYN,13
GŁĄBECKA,13
GŁĘBIKOWSKA,13
HAAKE,13
HABASZ,13
HABOR,13
HACHOŁ,13
HACHURSKA,13
HAG,13
HAGDEJ,13
HAGEMES,13
HAGIEMAJER,13
HAJBURA,13
HAJBUTOWICZ,13
HAJDANIAK,13
HAJDZIŃSKA,13
HAJTMAN,13
HAJZIK,13
HALACZ,13
HALBE,13
HALBTUCH,13
HALINKA,13
HALLIDAY,13
HALVORSEN,13
HAMERLING,13
HAMLING,13
HAMMAD,13
HAMMAMI,13
HAMMLING,13
HANDWERKIER,13
HANEBACH,13
HANERT,13
HANG,13
HANOUSEK,13
HANUSOWSKA,13
HARAPIUK,13
HARASYMIAK,13
HARAŃCZUK,13
HARCIŃSKA,13
HARCZENKO,13
HARMACIEJ,13
HARMAN,13
HARMAZY,13
HARNASZKIEWICZ,13
HARSZ,13
HARTIG,13
HARTL,13
HARTYN-LESZCZYŃSKA,13
HARUK,13
HASANI,13
HASENBERG,13
HASLER,13
HASZCZYN,13
HASZTO,13
HATALEWICZ,13
HAUDEK,13
HAUG,13
HAUTON,13
HAWRAJ,13
HAWRYLECKA,13
HAWRYLÓW,13
HAWRYŁYK,13
HAZEŃSKA,13
HAŁAK,13
HAŁDRZYŃSKA,13
HAŁDZIŃSKA,13
HEBISCH,13
HEILMANN,13
HEIMROTH,13
HEJTOTA,13
HEJŁASZ,13
HEKAWY,13
HELIM,13
HELNARSKA,13
HELSKA,13
HEMLICH,13
HEMPE,13
HENCZAK,13
HENDRA,13
HENKIE,13
HENTSCHKE,13
HEPEL,13
HEPKA,13
HERASIMOVICH,13
HERBIG,13
HERCZAK,13
HERET,13
HERHEL,13
HERRLEIN,13
HERTMANOWICZ,13
HERWERT,13
HESIAK,13
HETYCH,13
HEWKO,13
HEĆMAŃCZUK,13
HEẞ,13
HICKEY,13
HICKS,13
HICZKIEWICZ,13
HILBRECHT,13
HIROWICZ,13
HIRSZMAN,13
HIŃCZEWSKA,13
HLADKY,13
HLUKHOVA,13
HLUSHKOVA,13
HMIELEWSKA,13
HMIELOWIEC,13
HNATYUK,13
HOBERNIK,13
HOCZELA,13
HODARA,13
HODOVANETS,13
HODOŃ,13
HOEFLER,13
HOF,13
HOFFGUNST,13
HOGG,13
HOINZA,13
HOLACZUK,13
HOLD,13
HOLEREK,13
HOLINEJ,13
HOLLAIN,13
HOLOVANOVA,13
HOLOVENKO,13
HOLOVII,13
HOLZMANN,13
HOMANIEC,13
HOMEJA,13
HOMOT,13
HONKA,13
HOPKAŁA,13
HORIWNYK,13
HOROSZCZYK,13
HORVÁTHOVÁ,13
HORÁK,13
HOSSAJA,13
HOSZCZEWSKA,13
HOWAŃSKA,13
HOWSA,13
HOŁOBOWSKA,13
HOŁOWENKO,13
HRABI,13
HRADIL,13
HRAJ,13
HRAKAŁO-HORAWSKA,13
HRAPIEC,13
HROMYK,13
HRYCEWICZ,13
HRYHORIAK,13
HRYNENKO,13
HUBACZEK,13
HUBRYJ,13
HUDAŁA,13
HUDOBSKA,13
HULICZKA,13
HULIP,13
HUMAN,13
HUMANICKA,13
HUMENYUK,13
HUNCHAK,13
HUNTOWSKA,13
HURLEY,13
HURST,13
HUSSAKOWSKA,13
HUTCHINS,13
HYBIORZ,13
HYBOWSKA,13
HYL,13
HYZICKA,13
HYŻOWIECKA,13
HŁĄDZYŃSKA,13
IAKOVLIEVA,13
IAKYMENKO,13
IAREMCHUK,13
IBRAGIMOW,13
IDOWIAK,13
IEGOROVA,13
IGMAN,13
IGNAKOWSKA,13
IGWE,13
ILNICKI,13
INCZ,13
ISAKOWSKA,13
ISTELSKA,13
IURCHUK,13
IVAKH,13
IVANOVIĆ,13
IVERSEN,13
IWACIK,13
IWANCIW,13
IWAŃCA,13
IWEN,13
IWISKA,13
IZAAK,13
IZMERT,13
IZOWIT,13
IZYDORZAK,13
IŁKOWSKA,13
IŞIK,13
IŻ,13
IŻYŁOWSKA,13
JABŁEK,13
JACHULSKA,13
JACIW,13
JADWIŻAK,13
JAGANOW,13
JAGAŁA,13
JAGINTOWICZ,13
JAGOSIAK,13
JAGUSIEWICZ,13
JAKOWLUK,13
JAKUTAJĆ,13
JAMNA,13
JAMRÓGIEWICZ,13
JAMRÓSZKA,13
JAMZA,13
JANCIA,13
JANISCH,13
JANOSCHKA,13
JAPEŁSKA,13
JARAPUD,13
JARAUSZ,13
JARECKI,13
JAREMSKA,13
JARKOWICZ,13
JARMACZYK,13
JARMOLICZ,13
JARMUTOWSKA,13
JARNIEWSKA,13
JAROCKI,13
JARONICKA,13
JAROSZAK,13
JARUCKA,13
JASEWICZ,13
JASIEWSKA,13
JASIEŃKÓW,13
JASIORKOWSKA,13
JASKOWIEC,13
JAZDOWSKA,13
JAŚKIN,13
JAŹDZIEWSKA,13
JAŻDRZYK,13
JEDLINSKA,13
JEDNORAŁEK,13
JEDNOUS,13
JEHORYNKO,13
JELUKÓW,13
JEMIELNIK,13
JENC,13
JENDROS,13
JENDRUSZKO,13
JENDRYCHOWSKA,13
JENDZA,13
JENKE,13
JENNY,13
JERAN,13
JERIN,13
JERSCH,13
JESIĄKA,13
JESTRATJEW,13
JETHON,13
JEWIEC,13
JEWŁOSZEWICZ,13
JEŃĆ,13
JEŚMONTOWICZ,13
JEŻMANOWSKA,13
JIŁKA,13
JODZIKOWSKA,13
JOHNSEN,13
JONASZKO,13
JONKWISZ,13
JUC,13
JUDCZYC,13
JULSKA,13
JUNGNIKIEL,13
JUNICZAK,13
JUNKUSZEW,13
JURAKOWSKA,13
JURCAN,13
JURCZYS,13
JURENC,13
JURKE,13
JUROSZ,13
JURŻALINAS,13
JUSTYN,13
JUTKA,13
JUZWENKO,13
JUŹWIKOWSKA,13
JÓZEPCZUK,13
JÓŚKIEWICZ,13
JÜTTNER,13
JĘBRZYCKA,13
JĘCZMYSZEK,13
JĘDERKA,13
JĘDRUCHOWICZ,13
JĘDRYGAS,13
JĘDRZEJKA,13
JĘDRZY,13
KABACINSKA,13
KABELSKA,13
KABSCH,13
KACERKA,13
KACHMARYK,13
KACYMIROW,13
KACZKOWSKI,13
KADAR,13
KADRI,13
KADŁUBIAK,13
KADŁUBKIEWICZ,13
KAISZ,13
KAJNATH,13
KAJSER,13
KAKARYGA,13
KAKOWCZYK,13
KALATURA,13
KALBARA,13
KALCHUK,13
KALENSKA,13
KALIGOWSKA,13
KALTENBEK,13
KALUKIEWICZ,13
KALUZIŃSKA,13
KAMBUŁ,13
KANEKO,13
KANEVSKA,13
KANGIER,13
KANJERSKA,13
KAPALCZYK,13
KAPIJAS,13
KAPUSZYŃSKA,13
KARADENIZ,13
KARAKICZ,13
KARAL,13
KARALCHUK,13
KARAPKA,13
KARASSEK,13
KARAZJA,13
KARBARCZYK,13
KARDACZYŃSKA,13
KARDJALIK,13
KAREŁO,13
KARIMI,13
KARKOLA,13
KARKUSZ,13
KARKUTKIEWICZ,13
KARKUZEWICZ,13
KARLUTO,13
KARNAUCHOW,13
KARPOWIAK,13
KARSIŃSKA,13
KARSTEIN,13
KARSZTUN,13
KARSZYŃSKA,13
KARTKOWSKA,13
KARTUSZ,13
KARWASIECKA,13
KASIANOWICZ,13
KAST,13
KASZAŁOWICZ,13
KASZAŃSKA,13
KASZETA,13
KASZTULSKA,13
KATOLO,13
KAUCZOCH,13
KAUFFMANN,13
KAULBARSCH,13
KAWUZA,13
KAZICZKA,13
KAŁABUNOWSKA,13
KAŁAHURSKA,13
KAŁCZEWIAK,13
KAŁKUN,13
KAŁMIN,13
KAŁOŃ,13
KAŁYNIAK,13
KEHLE,13
KEIPER,13
KELAK,13
KELLERMANN,13
KEMUS,13
KENDZIAK,13
KENSICKA,13
KESLINKA,13
KETER,13
KETLIŃSKA,13
KETSMAN,13
KHABAROVA,13
KHANAS,13
KHEMII,13
KHIMICH,13
KHMELNYTSKA,13
KHRYSTIUK,13
KHUDYK,13
KIBIŁDA,13
KIECENKA,13
KIEJRYS,13
KIEMONA,13
KIENDZIERSKA,13
KIENIK,13
KIEPICZ,13
KIERCEL,13
KIERESIŃSKA,13
KIERZEL,13
KIERZENKA,13
KIETKO,13
KIETURAKIS,13
KINCZKOWSKA,13
KINDLEIN,13
KINEK,13
KIRCHHOF,13
KIRCIO,13
KIRIIENKO,13
KIRKER,13
KIRSCHT,13
KIRSEK,13
KIRYSIUK,13
KISELEVA,13
KISIEL-DOROHINICKA,13
KISMANN,13
KISSEL,13
KITURA,13
KITZLER,13
KLANKOWSKA,13
KLARYŃSKA,13
KLAUZO,13
KLECIŃSKA,13
KLEINGÄRTNER,13
KLEJSZMID,13
KLEJSZMIDT,13
KLEMŻYŃSKA,13
KLENCNER,13
KLENCZEWSKA,13
KLEPIŃSKA,13
KLEWSKA,13
KLEYBOR,13
KLIGLICH,13
KLIMASZEWSKI,13
KLIMASZYŃSKA,13
KLIMELA,13
KLINERT,13
KLISA,13
KLOBUCA,13
KLOCKE,13
KLONKOWSKA,13
KLORA,13
KLUGIER,13
KLUGIUS,13
KLUPAK,13
KLUSZ,13
KLĘCZAJ,13
KLŐTZEL,13
KNADEL,13
KNIEWEL,13
KNISZ,13
KNIZA,13
KNOSALLA,13
KNUTOWICZ,13
KNY,13
KNYCIŃSKA,13
KOBARYNKO,13
KOBELSKA,13
KOBERLING,13
KOBERNIK,13
KOBUSZKO,13
KOBYLANKA,13
KOCIOŁKIEWICZ,13
KOCIOŁŁ,13
KOCIURUBA,13
KOCZALSKA,13
KODLEWICZ,13
KODŁUBAJSKA,13
KOEHL,13
KOJKO,13
KOKCZYŃSKA,13
KOKORSKA,13
KOLASOWSKA,13
KOLASZKIEWICZ,13
KOLATOWICZ,13
KOLENIAK,13
KOLEWA,13
KOLIGNAN,13
KOLIS-MIKINA,13
KOLKOWICZ,13
KOLLMETZ,13
KOLSTRUNG,13
KOMARCZUK,13
KONDRA,13
KONDRATCZYK,13
KONDRATJEW,13
KONDRUŚ,13
KONDRYSZYN,13
KONEWSKA,13
KONIUSZENNA,13
KONONOW,13
KONSENCJUSZ,13
KOP-OSTROWSKA,13
KOPALAK,13
KOPCOŃ,13
KOPERIANOW,13
KOPIS,13
KOPISCHKE,13
KORBASIŃSKA,13
KORCIŃSKA,13
KORDANOWSKA,13
KORDELAS,13
KORDYACZNA,13
KOREIKE,13
KORNBERGER,13
KORNICZUK,13
KORNIEJEWSKA,13
KORNYSZKO,13
KOROBCZYŃSKA,13
KOROMBEL,13
KORONCZOK,13
KORONIEWSKA,13
KOROWCZYK,13
KOROŻAN,13
KORPIŃSKA,13
KORSHUNOVA,13
KORSZ,13
KORTIAK,13
KORWIN-KRUKOWSKA,13
KORYBO,13
KORYBUT,13
KORZAK,13
KORZENICKA,13
KORZONDKOWSKA,13
KORZUSZNIK,13
KORŻENKO,13
KOSANECKA,13
KOSANOWSKA,13
KOSENDOWSKA,13
KOSHELIUK,13
KOSIEL,13
KOSIOŁ,13
KOSOŁOWSKA,13
KOSSENDEY,13
KOSTRZEMBSKA,13
KOSTRZEWICZ,13
KOSZELNA,13
KOTALSKA,13
KOTERBSKA,13
KOTIASH,13
KOTONOWICZ,13
KOTUNIA,13
KOTURBASZ,13
KOTUSIŃSKA,13
KOTYGIN,13
KOVBASA,13
KOWALCZYK VEL KOWALSKA,13
KOWALNIK,13
KOWALÓWCZANA,13
KOWAŚ,13
KOWERCZYK,13
KOWIERSKA,13
KOWZOWICZ,13
KOZARA,13
KOZIEWICZ,13
KOZIUN,13
KOZMOWSKA,13
KOZOMARICZ,13
KOŁATKOWSKA,13
KOŁBYK,13
KOŁCZYN,13
KOŁDACHA,13
KOŁDUN,13
KOŁODKIEWICZ,13
KOŁODZIAN,13
KOŁODZIUK,13
KOŁPIŃSKA,13
KOŁTYK,13
KOŚNIAK,13
KRACZOŃ,13
KRAJOSZ,13
KRAMNIK,13
